Date,Time,Winner,Loser,Score
30/09/2013,19:40,Jack,Phyo,21 - 8
30/09/2013,17:10,Fraser,Phyo,11 - 6
30/09/2013,17:10,Fraser,Sam,11 - 8
30/09/2013,17:10,Sam,Fraser,11 - 8
30/09/2013,17:09,Fraser,Sam,11 - 6
30/09/2013,15:44,Jack,Marco,21 - 13
30/09/2013,14:47,Jack,Guy,21 - 14
30/09/2013,14:47,Guy,Jack,21 - 19
30/09/2013,14:46,Jack,Guy,21 - 16
30/09/2013,09:34,Jack,Ed,21 - 10
27/09/2013,17:29,Guy,Jack,22 - 20
27/09/2013,14:33,Jack,David,21 - 15
27/09/2013,14:33,Jack,Phil,21 - 8
27/09/2013,14:17,Jack,Kai,22 - 20
27/09/2013,14:00,Jack,Guy,21 - 17
27/09/2013,14:00,Jack,Sean,11 - 4
27/09/2013,13:47,Guy,Sean,11 - 7
27/09/2013,13:32,Kai,Phyo,11 - 4
27/09/2013,13:24,David,Kai,12 - 10
27/09/2013,13:24,David,Marco,11 - 8
27/09/2013,12:41,David,Phil,11 - 4
27/09/2013,12:21,David,Phil,11 - 4
27/09/2013,12:21,Phil,Fraser,11 - 9
27/09/2013,12:20,Marco,Phil,11 - 8
27/09/2013,12:20,Marco,Phil,11 - 2
27/09/2013,10:40,Ed,Tom,11 - 9
27/09/2013,09:21,Tom,John,11 - 4
27/09/2013,09:20,Tom,Guy,13 - 11
26/09/2013,17:32,Phil,Phyo,11 - 8
26/09/2013,16:53,Adrian,Fraser,11 - 8
26/09/2013,13:10,Phil,Phyo,21 - 19
26/09/2013,12:28,Fraser,Phyo,21 - 17
26/09/2013,11:34,Fraser,Adrian,12 - 10
26/09/2013,11:33,Fraser,Adrian,11 - 4
26/09/2013,11:32,Adrian,Fraser,11 - 5
25/09/2013,16:32,Phil,Fraser,11 - 6
25/09/2013,16:31,Guy,Phil,11 - 2
25/09/2013,16:31,Guy,Phil,11 - 7
25/09/2013,14:52,Fraser,Sam,11 - 6
25/09/2013,13:24,Fraser,Phyo,11 - 4
25/09/2013,13:15,David,Marco,11 - 7
25/09/2013,13:14,David,Kai,11 - 6
25/09/2013,13:14,David,Kai,11 - 1
24/09/2013,19:21,Kai,Phyo,11 - 3
24/09/2013,19:21,Kai,Phyo,11 - 1
24/09/2013,19:03,Kai,Phyo,21 - 3
24/09/2013,18:50,Marco,Kai,21 - 13
24/09/2013,18:43,Kai,Phyo,21 - 10
24/09/2013,18:42,Marco,Kai,21 - 19
24/09/2013,18:26,Marco,Jack,11 - 9
24/09/2013,18:23,Jack,Kai,11 - 6
24/09/2013,18:22,Kai,Sam,21 - 7
24/09/2013,16:51,Jack,Guy,24 - 22
24/09/2013,16:10,Phyo,Sam,21 - 17
24/09/2013,13:36,Jack,Phyo,11 - 3
24/09/2013,13:35,Jack,Kai,11 - 0
24/09/2013,13:23,David,Jack,11 - 6
24/09/2013,13:23,David,Kai,11 - 2
24/09/2013,13:23,David,Steve R,11 - 5
24/09/2013,13:10,Kai,Phil,11 - 1
24/09/2013,13:03,David,Kai,11 - 4
24/09/2013,13:03,David,Kai,12 - 10
23/09/2013,18:38,Marco,Jack,21 - 12
23/09/2013,18:38,Marco,Jack,21 - 18
23/09/2013,17:26,Kai,David,11 - 9
23/09/2013,17:25,Marco,Kai,11 - 8
23/09/2013,17:25,Marco,Kai,11 - 8
23/09/2013,14:50,Tom,Steve C,11 - 4
20/09/2013,21:07,Kai,Phil,11 - 4
20/09/2013,21:06,Phil,Kai,11 - 4
20/09/2013,18:51,David,Jack,11 - 8
20/09/2013,18:44,Ed,Phil,11 - 9
20/09/2013,16:47,Phil,Pooja,11 - 6
20/09/2013,16:04,Sean,Keith,11 - 0
20/09/2013,15:58,Sean,Tom,11 - 9
20/09/2013,15:43,Kai,David,12 - 10
20/09/2013,15:07,Phil,Fraser,11 - 5
20/09/2013,15:07,Phil,Sam,11 - 5
20/09/2013,15:07,Phil,Sam,11 - 4
20/09/2013,15:02,Tom,Phil,11 - 7
20/09/2013,14:55,Tom,Guy,11 - 9
20/09/2013,14:50,Jack,Phil,11 - 7
20/09/2013,14:35,Jack,Guy,21 - 5
20/09/2013,14:25,Fraser,Adrian,11 - 9
20/09/2013,13:22,David,Marco,11 - 9
20/09/2013,13:22,David,Kai,11 - 5
20/09/2013,13:22,David,Kai,11 - 7
20/09/2013,13:05,Fraser,Sam,11 - 1
20/09/2013,13:05,Fraser,Sam,11 - 5
20/09/2013,13:04,Sam,Fraser,11 - 7
19/09/2013,19:08,Phyo,Phil,11 - 5
19/09/2013,19:07,Phil,Phyo,21 - 11
19/09/2013,19:07,Phil,Phyo,21 - 12
19/09/2013,17:32,Tom,Fraser,11 - 10
19/09/2013,17:32,Tom,Fraser,11 - 2
19/09/2013,17:23,Kai,Fraser,11 - 4
19/09/2013,16:23,Jack,Tom,11 - 5
19/09/2013,16:23,Jack,Tom,11 - 3
19/09/2013,16:14,Phil,Sam,11 - 7
19/09/2013,16:13,Sam,James,11 - 6
19/09/2013,16:00,Jack,Kai,11 - 9
19/09/2013,16:00,Jack,Marco,21 - 14
19/09/2013,15:49,Adrian,Tom,14 - 12
19/09/2013,15:42,Tom,Adrian,11 - 9
19/09/2013,15:42,Tom,Adrian,11 - 9
19/09/2013,14:55,Kai,Tom,11 - 7
19/09/2013,14:54,Kai,Tom,11 - 6
19/09/2013,13:53,Kai,Sam,11 - 5
19/09/2013,13:52,Kai,Phyo,11 - 4
19/09/2013,12:46,Phyo,Fraser,11 - 3
19/09/2013,12:45,Fraser,Phyo,11 - 6
19/09/2013,12:20,Jack,Phil,11 - 3
19/09/2013,12:14,Tom,Phil,11 - 9
19/09/2013,12:13,Tom,Phil,11 - 9
19/09/2013,12:13,Phil,Tom,11 - 7
18/09/2013,21:40,Marco,Jack,11 - 7
18/09/2013,21:40,Marco,Phyo,13 - 11
18/09/2013,18:19,Marco,Jack,13 - 11
18/09/2013,18:19,Jack,David,11 - 7
18/09/2013,18:19,Jack,Phyo,11 - 7
18/09/2013,17:58,Marco,David,11 - 6
18/09/2013,17:57,Marco,David,11 - 9
18/09/2013,15:15,Fraser,Adrian,11 - 6
18/09/2013,15:11,Adrian,Fraser,11 - 8
18/09/2013,14:52,Jack,Guy,22 - 20
18/09/2013,14:52,Jack,Guy,21 - 19
18/09/2013,13:34,Jack,David,11 - 7
18/09/2013,13:34,Jack,Phil,11 - 5
18/09/2013,13:34,Jack,Phil,11 - 2
18/09/2013,13:33,Jack,David,12 - 10
18/09/2013,09:55,David,Sean,11 - 2
18/09/2013,09:51,Sean,Tom,11 - 8
17/09/2013,18:23,Phil,Phyo,11 - 3
17/09/2013,18:23,Phil,Fraser,21 - 11
17/09/2013,18:23,Phil,Fraser,21 - 17
17/09/2013,17:11,David,Adrian,11 - 8
17/09/2013,17:04,Adrian,Fraser,14 - 12
17/09/2013,17:03,Adrian,Fraser,11 - 5
17/09/2013,14:02,Phil,Fraser,11 - 4
17/09/2013,14:02,Fraser,Phil,11 - 8
17/09/2013,14:02,David,Phil,11 - 3
17/09/2013,12:51,David,Marco,21 - 16
17/09/2013,11:04,Tom,Phil,12 - 10
17/09/2013,10:37,Phil,James,11 - 6
17/09/2013,10:37,James,Adrian,11 - 9
17/09/2013,10:34,Tom,Adrian,11 - 4
17/09/2013,09:29,Tom,Sam,11 - 3
16/09/2013,18:07,Jack,Tom,11 - 3
16/09/2013,18:06,Tom,Steve,12 - 10
16/09/2013,17:59,Tom,Sam,11 - 5
16/09/2013,17:57,Steve,Tom,11 - 2
16/09/2013,17:53,Tom,Keith,11 - 8
16/09/2013,15:40,David,Steve,12 - 10
16/09/2013,15:39,David,Steve,11 - 6
16/09/2013,15:39,David,Marco,11 - 9
16/09/2013,15:30,Jack,Steve,11 - 5
16/09/2013,15:30,Jack,Steve,11 - 9
16/09/2013,15:30,Jack,Steve,11 - 7
16/09/2013,15:30,Jack,Steve,11 - 5
16/09/2013,15:23,Jack,David,11 - 5
16/09/2013,13:27,Jack,Phyo,11 - 4
16/09/2013,13:27,Jack,Phyo,11 - 4
13/09/2013,18:18,Phyo,Fraser,21 - 19
13/09/2013,18:18,Phyo,Fraser,21 - 14
13/09/2013,18:17,Fraser,Phyo,21 - 17
13/09/2013,17:44,Fraser,Phil,21 - 14
13/09/2013,17:22,Jack,David,26 - 24
13/09/2013,15:46,Jack,Phil,11 - 9
13/09/2013,15:40,David,Phil,11 - 6
13/09/2013,15:40,David,Phil,21 - 10
13/09/2013,14:36,Guy,Phyo,11 - 8
13/09/2013,14:35,Guy,Phyo,11 - 5
13/09/2013,13:51,Jack,Guy,12 - 10
13/09/2013,13:51,David,Jack,11 - 9
13/09/2013,12:29,Guy,David,21 - 18
13/09/2013,12:22,Guy,Tim,11 - 8
13/09/2013,12:14,Jack,Tim,11 - 7
13/09/2013,11:36,Jack,Phyo,11 - 6
12/09/2013,18:48,Phil,Fraser,21 - 16
12/09/2013,15:54,Jack,Phil,11 - 9
12/09/2013,15:53,Jack,Phil,21 - 9
12/09/2013,15:53,Guy,Sam,11 - 1
12/09/2013,15:52,Guy,Sam,11 - 1
12/09/2013,15:52,Sam,Guy,11 - 9
12/09/2013,14:15,Jack,Sam,11 - 4
12/09/2013,14:14,Jack,Sam,11 - 1
12/09/2013,14:08,Jack,Steve,11 - 5
12/09/2013,14:08,Jack,Steve,11 - 3
12/09/2013,14:04,Steve,Sam,11 - 7
12/09/2013,14:03,Steve,Sam,11 - 7
12/09/2013,13:36,Jack,Phil,11 - 8
12/09/2013,13:36,Jack,Phil,21 - 14
12/09/2013,10:41,Jack,Guy,21 - 13
12/09/2013,10:41,Jack,Guy,21 - 18
11/09/2013,18:58,David,Jack,11 - 4
11/09/2013,18:54,Phyo,Sam,11 - 5
11/09/2013,18:50,Jack,Marco,11 - 9
11/09/2013,18:45,Marco,David,11 - 9
11/09/2013,18:38,Phyo,Fraser,11 - 2
11/09/2013,18:35,David,Sam,11 - 5
11/09/2013,18:32,Phyo,Jack,11 - 8,
11/09/2013,18:27,David,Fraser,11 - 5,
11/09/2013,18:18,David,Marco,11 - 6,
11/09/2013,18:11,Steve,Sam,11 - 5,
11/09/2013,18:11,Steve,James,11 - 2,
11/09/2013,18:01,Steve,Phyo,11 - 5,
11/09/2013,18:00,Phyo,Steve,11 - 5,
11/09/2013,17:01,Fraser,Sam,21 - 18,
11/09/2013,16:18,Guy,Jack,12 - 10,
11/09/2013,16:17,Jack,Guy,21 - 11,
11/09/2013,15:58,David,Phyo,11 - 5,
11/09/2013,15:58,David,Phyo,11 - 8,
11/09/2013,15:44,David,Steve,11 - 5,
11/09/2013,15:43,David,Steve,11 - 8,
11/09/2013,15:02,Jack,Phil,21 - 19,
11/09/2013,13:35,David,Jack,11 - 8,
11/09/2013,13:18,Phil,Phyo,11 - 7,
11/09/2013,13:15,Phyo,Sam,12 - 10,
11/09/2013,13:11,David,Guy,11 - 5,
11/09/2013,13:11,David,Phyo,11 - 4,
11/09/2013,13:10,David,Steve,11 - 6,
11/09/2013,12:58,Steve,Sam,11 - 5,
11/09/2013,12:55,David,Sam,11 - 2,
11/09/2013,12:54,David,Phil,11 - 7,
11/09/2013,12:38,David,Phyo,21 - 12,
11/09/2013,09:53,Jack,Guy,27 - 25,
